Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-12.5,172.5,-0.415351,0.118579,
-12.5,175,-0.415525,0.0580952,
-12.5,177.5,-0.409803,0.0359305,
-12.5,180,-0.360316,0.0355954,
-12.5,182.5,-0.284178,0.013438,
-12.5,185,-0.231164,-0.0514023,
-12.5,187.5,-0.212671,-0.117846,
-12.5,190,-0.206321,-0.165016,
-12.5,192.5,-0.200832,-0.206991,
-12.5,195,-0.213327,-0.254981,
-12.5,197.5,-0.265808,-0.287552,
-12.5,200,-0.343215,-0.263588,
-12.5,202.5,-0.391237,-0.186731,
-12.5,205,-0.42052,-0.11365,
-12.5,207.5,-0.51154,-0.0646033,
-12.5,210,-0.645788,-0.008229,
-12.5,212.5,-0.732923,0.0743776,
-12.5,215,-0.724966,0.182177,
-12.5,217.5,-0.652555,0.285623,
-12.5,220,-0.576161,0.340344,
-12.5,222.5,-0.512059,0.333604,
-12.5,225,-0.459705,0.361284,
-12.5,227.5,-0.453323,0.436381,
-12.5,230,-0.452772,0.451246,
-12.5,232.5,-0.444339,0.405361,
-12.5,235,-0.422379,0.40203,
-12.5,237.5,-0.386336,0.453822,
-12.5,240,-0.354956,0.501298,
-12.5,242.5,-0.36607,0.498289,
-12.5,245,-0.443864,0.470127,
-12.5,247.5,-0.529037,0.504382,
-12.5,250,-0.537975,0.599472,
-12.5,252.5,-0.467297,0.610066,
-12.5,255,-0.375717,0.590293,
-12.5,257.5,-0.265811,0.594661,
-12.5,260,-0.133582,0.565892,
-12.5,262.5,0.00357118,0.471941,
-12.5,265,0.130181,0.371352,
-12.5,267.5,0.259308,0.323209,
-12.5,270,0.336576,0.295,
-12.5,272.5,0.27859,0.21163,
-12.5,275,0.188138,0.118026,
-12.5,277.5,0.193955,0.198484,
-12.5,280,0.213851,0.379018,
-12.5,282.5,0.198967,0.341793,
-12.5,285,0.144215,0.0827995,
-12.5,287.5,0.0433052,-0.122698,
-12.5,290,-0.093437,-0.229253,
-12.5,292.5,-0.100602,-0.0339702,
-12.5,295,-0.0686272,0.0890746,
-12.5,297.5,-0.121569,0.150459,
-12.5,300,-0.114953,0.321431,
-12.5,302.5,-0.015199,0.432651,
-12.5,305,0.0999049,0.41937,
-12.5,307.5,0.175953,0.349011,
-12.5,310,0.246049,0.295868,
-12.5,312.5,0.368948,0.244023,
-12.5,315,0.536321,0.116064,
-12.5,317.5,0.56351,-0.00440572,
-12.5,320,0.489368,-0.0195932,
-12.5,322.5,0.572701,0.0191009,
-12.5,325,0.721284,0.0361036,
-12.5,327.5,0.828827,0.0166671,
-12.5,330,0.843527,-0.0250083,
-12.5,332.5,0.770594,-0.0870788,
-12.5,335,0.670886,-0.179408,
-12.5,337.5,0.577478,-0.285652,
-12.5,340,0.467013,-0.351787,
-12.5,342.5,0.333414,-0.36213,
-12.5,345,0.190186,-0.337392,
-12.5,347.5,0.0524071,-0.314029,
-12.5,350,-0.0571243,-0.318618,
-12.5,352.5,-0.124812,-0.32641,
-12.5,355,-0.161298,-0.260533,
-12.5,357.5,-0.190995,-0.0641501,
-10,40,-0.261265,-0.36135,
-10,42.5,-0.292761,-0.317424,
-10,45,-0.240902,-0.298708,
-10,47.5,-0.12737,-0.418373,
-10,50,0.0359759,-0.518168,
-10,52.5,0.150279,-0.484256,
-10,55,0.170627,-0.346063,
-10,57.5,0.125266,-0.20522,
-10,60,0.0627615,-0.133871,
-10,62.5,0.0107941,-0.129743,
-10,65,-0.0277257,-0.146273,
