Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-10,170,0.887838,-0.955635,
-10,172.5,0.734636,-0.995055,
-10,175,0.588897,-1.0103,
-10,177.5,0.411872,-1.00263,
-10,180,0.175582,-0.92841,
-10,182.5,-0.102873,-0.814929,
-10,185,-0.378987,-0.725304,
-10,187.5,-0.582895,-0.634267,
-10,190,-0.684423,-0.527351,
-10,192.5,-0.734277,-0.403734,
-10,195,-0.800668,-0.272953,
-10,197.5,-0.893913,-0.148256,
-10,200,-0.946396,-0.0385471,
-10,202.5,-0.890201,0.0599199,
-10,205,-0.767208,0.091974,
-10,207.5,-0.688947,0.0782989,
-10,210,-0.646782,0.105958,
-10,212.5,-0.593644,0.178146,
-10,215,-0.528077,0.245483,
-10,217.5,-0.479946,0.26912,
-10,220,-0.471486,0.243415,
-10,222.5,-0.49422,0.19069,
-10,225,-0.509111,0.225404,
-10,227.5,-0.435266,0.366327,
-10,230,-0.371255,0.420914,
-10,232.5,-0.317224,0.347474,
-10,235,-0.271195,0.267398,
-10,237.5,-0.21264,0.281074,
-10,240,-0.128063,0.353583,
-10,242.5,-0.0362233,0.386827,
-10,245,0.0206243,0.3855,
-10,247.5,0.0442896,0.415156,
-10,250,0.132699,0.386526,
-10,252.5,0.215812,0.251935,
-10,255,0.224213,0.138679,
-10,257.5,0.191137,0.102011,
-10,260,0.112097,0.0884808,
-10,262.5,0.0240976,0.0762335,
-10,265,-0.00823768,0.135906,
-10,267.5,-0.0162152,0.313909,
-10,270,-0.0807463,0.39802,
-10,272.5,-0.134549,0.274129,
-10,275,-0.0884341,0.227035,
-10,277.5,-0.0186771,0.250136,
-10,280,0.0472991,0.196756,
-10,282.5,-0.0139057,0.0786554,
-10,285,-0.135404,0.0503377,
-10,287.5,-0.177451,0.236503,
-10,290,-0.2715,0.526391,
-10,292.5,-0.201973,0.425182,
-10,295,-0.340896,0.318288,
-10,297.5,-0.525943,0.380636,
-10,300,-0.378687,0.461534,
-10,302.5,-0.195131,0.418609,
-10,305,-0.103674,0.318506,
-10,307.5,-0.139912,0.294096,
-10,310,-0.299985,0.375328,
-10,312.5,-0.405053,0.467718,
-10,315,-0.380414,0.509241,
-10,317.5,-0.269061,0.547815,
-10,320,-0.161972,0.575809,
-10,322.5,-0.00156768,0.611953,
-10,325,0.120889,0.617327,
-10,327.5,0.151169,0.595391,
-10,330,0.120123,0.564953,
-10,332.5,0.0867278,0.519202,
-10,335,0.055549,0.427468,
-10,337.5,-0.00525173,0.279833,
-10,340,-0.0677706,0.136548,
-10,342.5,-0.0752325,0.0480529,
-10,345,-0.0190443,-0.00630005,
-10,347.5,0.0554098,-0.040708,
-10,350,0.0880393,-0.052856,
-10,352.5,0.0381846,-0.000479341,
-10,355,-0.046232,0.181363,
-10,357.5,0.00342989,0.488955,
-7.5,40,0.720637,1.08166,
-7.5,42.5,0.786511,0.977768,
-7.5,45,0.795597,0.862157,
-7.5,47.5,0.491178,1.10233,
-7.5,50,-0.0111891,1.38352,
-7.5,52.5,-0.485525,1.34509,
-7.5,55,-0.812463,0.815089,
-7.5,57.5,-0.977713,-0.0424113,
-7.5,60,-1.01667,-0.982695,
-7.5,62.5,-0.958718,-1.86446,
-7.5,65,-0.80925,-2.59363,
-7.5,67.5,-0.591658,-2.96309,
-7.5,70,-0.322375,-2.85036,
-7.5,72.5,-0.0761523,-2.44682,
-7.5,75,0.0320551,-1.95186,
-7.5,77.5,-0.059505,-1.55616,
-7.5,80,-0.269075,-1.29861,
-7.5,82.5,-0.449152,-1.09336,
-7.5,85,-0.499841,-0.858082,
-7.5,87.5,-0.42527,-0.617353,
-7.5,90,-0.280443,-0.397315,
-7.5,92.5,-0.148724,-0.112809,
-7.5,95,-0.090553,0.12388,
-7.5,97.5,-0.100044,0.185823,
-7.5,100,-0.115306,0.0993404,
-7.5,102.5,-0.0924644,-0.0416487,
-7.5,105,-0.0437655,-0.176729,
-7.5,107.5,-0.0185453,-0.297557,
-7.5,110,-0.0379014,-0.384678,
-7.5,112.5,-0.025887,-0.362169,
-7.5,115,0.0951637,-0.183432,
-7.5,117.5,0.304635,-0.0276315,
-7.5,120,0.554327,-0.0133841,
-7.5,122.5,0.763371,-0.144706,
-7.5,125,0.792894,-0.299169,
-7.5,127.5,0.570586,-0.349319,
-7.5,130,0.203808,-0.281042,
-7.5,132.5,-0.0554422,-0.1921,
-7.5,135,-0.105662,-0.0736077,
-7.5,137.5,-0.162765,0.061119,
-7.5,140,-0.289517,0.175327,
-7.5,142.5,-0.339214,0.261034,
-7.5,145,-0.187284,0.270297,
-7.5,147.5,0.187565,0.168365,
-7.5,150,0.649032,-0.025505,
-7.5,152.5,0.981437,-0.27794,
-7.5,155,1.07276,-0.576023,
-7.5,157.5,1.04154,-0.716115,
-7.5,160,1.0543,-0.669094,
-7.5,162.5,1.07969,-0.642952,
-7.5,165,0.983412,-0.690391,
-7.5,167.5,0.718153,-0.758163,
-7.5,170,0.385207,-0.828238,
-7.5,172.5,0.126634,-0.903885,
-7.5,175,-0.00543499,-0.956829,
-7.5,177.5,-0.0925919,-0.925976,
-7.5,180,-0.233969,-0.832573,
-7.5,182.5,-0.466758,-0.764156,
